species,n_detections,group_fv,benthos,nonnative,source,blast,notes
Podosira stelligera,13,diatom,PLK,possible,worms algaebase,tbd,"documented east US, europe, NZ, aus"
Pseudocalanus moultoni,13,copepod,PLK,0,worms,,
Smithora naiadum,13,"algae, red",BEN,0,algaebase,,
Wildemania amplissima,13,"algae, red",BEN,0,biodiversity of CC,,
Aurelia labiata,12,"jelly, jellyfish",Both,0,worms,,
Emplectonema sp. 1 TCH-2015,12,undetermined,BEN,ask,,,
Hemigrapsus oregonensis,12,crab,BEN,0,worms,,
Navicula glaciei,12,diatom,PLK,low,worms algaebase,,documented in arctic and subarctic? 
Navicula sp. BOLD:AAO6950,12,diatom,PLK,ask,,,
Phytophthora taxon paludosa,12,undetermined,None,0,fungi,,
Platynereis bicanaliculata,12,polychaete,BEN,0,worms,,
Pyropia fallax,12,"algae, red",BEN,0,algaebase,,
Pyropia haitanensis,12,"algae, red",BEN,possible,algaebase,tbd,haitanensis native to china? 
Synchaeta pectinata,12,rotifer,BEN,possible,worms,tbd,"low information, black sea, New Zealand??"
Acrochaetium arcuatum,11,undetermined,BEN,0,algaebase,,
Anisolpidium ectocarpii,11,undetermined,None,0,fungi,,
Leitoscoloplos pugettensis CMC01,11,polychaete,BEN,0,worms,,
Petalonia fascia,11,"algae, brown",BEN,0,worms algaebase,,
Pisaster ochraceus,11,undetermined,BEN,0,worms,,
Pterosiphonia bipinnata,11,"algae, red",PLK,0,worms algaebase,,
Rhodotorula taiwanensis,11,fungi,None,0,fungi,,
Asterionellopsis tropicalis,10,"algae, brown",PLK,low,worms algaebase,,"tropical species - confusing, similar to other asterionellopsis?"
Barantolla americana CMC01,10,polychaete,BEN,ask,,,
Boccardia proboscidea,10,polychaete,BEN,0,worms,,"invasive elsewhere, but native to west coast? "
Chordariaceae sp. 2 AP-2014,10,"algae, brown",BEN,ask,,,
Ectocarpus siliculosus,10,algae,BEN,0,worms algaebase,,
Halidrys siliquosa,10,"algae, brown",BEN,possible,worms,,no document pacific dist
Karlodinium veneficum,10,flagellate,PLK,possible,worms algaebase,,"harmful algae, seems ubiquitous but not documented in puget sound"
Lacuna vincta,10,undetermined,BEN,0,worms,,
Littorina sitkana,10,undetermined,BEN,0,worms,,
Mesocentrotus franciscanus,10,echinoderm,BEN,0,worms,,
Nicolea zostericola,10,polychaete,BEN,0,encyclopedia of puget sound,,
Odonthalia floccosa,10,"algae, red",PLK,terrie,algaebase,,"macroalgae, why PLK? "
Phacellophora camtschatica,10,hydrozoan,Both,0,worms,,
Penicillium rubens,10,fungi,None,0,fungi,,
Phacellophora camtschatica,10,"jelly, jellyfish",Both,0,worms,,
Phytophthora riparia,10,undetermined,None,0,fungi,,
Alitta sp. CMC01,9,polychaete,BEN,ask,,,
Chaetoceros sp. MBTD-CMFRI-S045,9,diatom,PLK,ask,,,
Cylindrotheca fusiformis,9,diatom,BEN,possible,worms algaebase,tbd,"only documented in europe, asia "
Eucampia zodiacus,9,diatom,PLK,0,worms,,
Gelidiophycus freshwateri,9,undetermined,BEN,possible,algaebase,tbd,"only documented in korea, east asia"
Gymnodinium sp. NVA/RUS/2008,9,flagellate,BEN,ask,,,
Monocorophium acherusicum,9,undetermined,BEN,1,,,"some uncertainty, native to europe, balast water introduction"
Nitzschia cf. recta RT-2009,9,diatom,PLK,ask,,,
Sarcodiotheca sp. 2gaudichaudii,9,undetermined,BEN,ask,,,
Thelepus sp. CMC01,9,polychaete,BEN,ask,,,
Amphicaryon earnesti,8,hydrozoan,PLK,possible,https://escholarship.org/content/qt6zm3c9zb/qt6zm3c9zb_noSplash_398849147e68b68dcc5876a54f9f614c.pdf,tbd,
Ceramium sp. 3Cal,8,undetermined,BEN,ask,,,
Devaleraea mollis,8,undetermined,BEN,0,algaebase,,
Evasterias troschelii,8,undetermined,BEN,0,worms,,
Gallus gallus,8,fowl,None,0,,,
Leptasterias hexactis,8,undetermined,BEN,0,worms,,
Leuckartiara octona,8,hydrozoan,Both,possible,worms,,west coast distribution listed as inaccurate
Leucocryptos marina,8,flagellate,PLK,low,worms algaebase,,"documented in baltic, aus, NZ"
Mayamaea permitis,8,diatom,PLK,0,algaebase,,
Nanomia cara,8,siphonophore,PLK,possible,worms,,west coast distribution listed as inaccurate
Obelia bidentata,8,hydrozoan,Both,0,worms,,
Acartia californiensis,7,copepod,PLK,0,worms,,
Aphanomyces sp. BOLD:AAO9952,7,fungi,None,0,fungu,,
Cymatogaster aggregata,7,"fish, midwater",PLK,0,encyclopedia of puget sound,,
Dodecaceria sp. CMC01,7,polychaete,BEN,,,,
Euclymene sp. BOLD:ACG1020,7,polychaete,BEN,,,,
Eunice valens,7,polychaete,BEN,,,,
Heterosigma akashiwo,7,algae,PLK,,,,
Martensia jejuensis,7,"algae, red",BEN,,,,
Mazzaella rosea,7,undetermined,BEN,,,,
Mazzaella sp. GWS-2013b,7,undetermined,BEN,,,,
Microcladia coulteri,7,undetermined,BEN,,,,
Naineris dendritica CMC02,7,polychaete,BEN,,,,
Nitzschia palea,7,diatom,BEN,,,,
Prionitis sternbergii,7,undetermined,BEN,,,,
Pythium acanthicum,7,fungi,None,,,,
Sellaphora bacillum,7,undetermined,BEN,,,,
Amathia vidovici,6,bryozoan,BEN,possible,worms,tbd,only documented in west atlantic 
