"","sample","site","date","species","nReads","Hash","kingdom","phylum","class","order","family","genus","EarlyLifeMinerology","AdultMinerology","reliability.minerology","trophic_level_fv","group_fv","benthos"
"1330","FH_201807","FH","_201807","Membranipora membranacea",301,"3cd7ffe0e7e2ebb06b146418a6ca394477c6454f","Metazoa","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Aragonite, Calcite","Aragonite, Calcite","species","3","bryozoan","BEN"
"1331","FH_201807","FH","_201807","Mesocentrotus franciscanus",60,"6d8f7bc4f4bd845333b5053d2839ea0dadb5ca95","Metazoa","Echinodermata","Echinoidea","Echinoida","Strongylocentrotidae","Mesocentrotus","Amorphous","High Mg Calcite, Amorphous","family","3","echinoderm","BEN"
"1332","FH_201807","FH","_201807","Micromonas pusilla",29511,"52ac6f8082f0cfa8b07863f388b5c15ef1ccb145","Viridiplantae","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas",NA,NA,NA,"1","algae, green","PLK"
"1333","FH_201807","FH","_201807","Minutocellus polymorphus",2965,"5ae1341da7ed3b29f88201563c85b12b0112a65a","Stramenopiles","Bacillariophyta","Mediophyceae","Cymatosirales","Cymatosiraceae","Minutocellus",NA,NA,NA,"1","diatom","PLK"
"1334","FH_201807","FH","_201807","Muggiaea atlantica",289,"780c51abfaff642a8dcb3fdabacdb99c9615a787","Metazoa","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Muggiaea",NA,NA,NA,"undetermined","undetermined","PLK"
"1335","FH_201807","FH","_201807","Paracalanus sp. C AC-2013",430,"a541fd228ef7d1d712ad202623c1590a3c883377","Metazoa","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","No mineralization","No mineralization","genus","3","copepod","PLK"
"1336","FH_201807","FH","_201807","Parvamoeba rugata",13,"265856eacca62697440bde80d28a7d47903564e3",NA,"Himatismenida",NA,"Himatismenida",NA,"Parvamoeba",NA,NA,NA,NA,"amoebozoa","PLK"
"1337","FH_201807","FH","_201807","Phaeocystis antarctica",318,"32162e451e12cdf5cf3628007e99b0efa1ba946b","Haptophyceae","Haptophyceae","Haptophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Calcite","Calcite","genus","1","algae, brown","PLK"
"1338","FH_201807","FH","_201807","Phaeocystis globosa",14,"4dc52fdc04ae6b5ca0069b00c0ed9856e4cc23c0","Haptophyceae","Haptophyceae","Haptophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Calcite","Calcite","genus","1","algae, brown","PLK"
"1339","FH_201807","FH","_201807","Pinnularia sp. 5 CS-2011",47,"dfd485908c0d0eb49412762a8c0312de3f787c44","Stramenopiles","Bacillariophyta","Bacillariophyceae","Naviculales","Pinnulariaceae","Pinnularia",NA,NA,NA,"undetermined","undetermined","BEN"
"1340","FH_201807","FH","_201807","Polycirrus sp. CMC05",422,"7b3cd104d7968a11e689e2a75ab64526e1f75495","Metazoa","Annelida","Polychaeta","Terebellida","Terebellidae","Polycirrus","Non-CaCO3 mineral","Non-CaCO3 mineral","genus","3, worm","polychaete","BEN"
"1341","FH_201807","FH","_201807","Protoperidinium cf. depressum",314,"6f9482ea00677770c5b3ef877e71dea1da6e7a46","Dinoflagellates","Dinophyceae","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","No mineralization","Calcite","genus","3","flagellate","PLK"
"1342","FH_201807","FH","_201807","Pseudo-nitzschia hasleana",44,"4e584bddfd0f137937ad3cf9dcb09560936aa6e2","Stramenopiles","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Non-CaCO3 mineral","Non-CaCO3 mineral","genus","1","diatom","PLK"
"1343","FH_201807","FH","_201807","Pseudocalanus newmani",10069,"17585e5fc601ba25d02d211cce3435af5a395c4d","Metazoa","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Pseudocalanus","No mineralization","No mineralization","genus","3","copepod","PLK"
"1344","FH_201807","FH","_201807","Rhizosolenia setigera",222,"00616a421c92928530cd4f6653722e00616d21e7","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Rhizosoleniales","Rhizosoleniaceae","Rhizosolenia","Non-CaCO3 mineral","Non-CaCO3 mineral","species","1","diatom","PLK"
"1345","FH_201807","FH","_201807","Skeletonema japonicum",18,"0a6c39c31b47ebe9d9f2ba838244afc7f3617ffd","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","Non-CaCO3 mineral","Non-CaCO3 mineral","genus","1","diatom","PLK"
"1346","FH_201807","FH","_201807","Thalassionema nitzschioides",6,"f2c557df3514fc8e0ed431a8826155df05706c32","Stramenopiles","Bacillariophyta","Fragilariophyceae","Thalassionemales","Thalassionemataceae","Thalassionema","Non-CaCO3 mineral","Non-CaCO3 mineral","species","1","diatom","PLK"
"1347","FH_201807","FH","_201807","Thalassiosira nordenskioeldii",946,"0668d1d92655b0cf087703f51ea108e6eae86fd4","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Non-CaCO3 mineral","Non-CaCO3 mineral","species","1","diatom","PLK"
"1348","FH_201807","FH","_201807","Triparma laevis",4,"74bd536a982117e99a75e40240e0e3b1b1f81a5c","Stramenopiles","Synurophyceae","Synurophyceae","Parmales","Triparmaceae","Triparma",NA,NA,NA,"undetermined","undetermined","PLK"
"1349","FH_201807","FH","_201807",NA,231150,"4f56fd49dd798ec5bb8045bb20e6ec4ae0892cf4","Stramenopiles","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Non-CaCO3 mineral","Non-CaCO3 mineral","genus","1","diatom","PLK"
"1350","LK_201706","LK","_201706","Acartia longiremis",12,"7310dcc0eabb15f0cde907e72f2aafb52096d131","Metazoa","Arthropoda","Hexanauplia","Calanoida","Acartiidae","Acartia","No mineralization","No mineralization","species","3","copepod","PLK"
"1351","LK_201706","LK","_201706","Acrochaetium arcuatum",218,"6f6ff49e1f9584d2a3482a8649c13ae50bdd6be1","Rhodophyta","Florideophyceae","Florideophyceae","Acrochaetiales","Acrochaetiaceae","Acrochaetium","No mineralization","No mineralization","species","undetermined","undetermined","BEN"
