sample,species,nReads
CP_201706,Pseudo-nitzschia hasleana,555
CP_201706,Pseudocalanus newmani,6
CP_201706,Pterosiphonia bipinnata,12
CP_201706,Pyramimonas parkeae,128
CP_201706,Pyropia fallax,49
CP_201706,Pythium pachycaule,23
CP_201706,Pythium tracheiphilum,44
CP_201706,Ralfsioid sp. 4GWS,85
CP_201706,Rhizosolenia setigera,10444
CP_201706,Rhodomonas salina,8
CP_201706,Salispina spinosa,8
CP_201706,Sarcodiotheca sp. 2gaudichaudii,20
CP_201706,Schizobranchia insignis,13
CP_201706,Scopalina ruetzleri,65
CP_201706,Semibalanus cariosus,18
CP_201706,Skeletonema cf. pseudocostatum,28
CP_201706,Skeletonema dohrnii,8
CP_201706,Skeletonema japonicum,339
CP_201706,Smithora naiadum,1361
CP_201706,Strongylocentrotus droebachiensis,20
CP_201706,Synchaeta pectinata,16
CP_201706,Thalassionema nitzschioides,107
CP_201706,Thalassiosira nordenskioeldii,3945
CP_201706,Thecamonas trahens,381
CP_201706,Thelepus crispus,181
CP_201706,Triparma laevis,81
CP_201706,Wildemania amplissima,17
CP_201706,Wildemania sp. 5POR,226
CP_201706,Wildemania sp. HK-2011,16
CP_201706,NA,152651
CP_201707,Acartia longiremis,10770
CP_201707,Acrochaetium arcuatum,114
CP_201707,Aequorea sp. MW-2012,31
CP_201707,Ammodytes hexapterus,1799
CP_201707,Asterionellopsis glacialis,5
CP_201707,Asterionellopsis tropicalis,4
CP_201707,Attheya longicornis,122
CP_201707,Azumapecten farreri,26
CP_201707,Balanus balanus,6040
CP_201707,Bathycoccus prasinos,189
CP_201707,Blastocladiella emersonii,18
CP_201707,Centropages abdominalis,6594
CP_201707,Chaetoceros socialis,936
CP_201707,Chaetoceros sp. MBTD-CMFRI-S045,276
CP_201707,Chaetoceros sp. MBTD-CMFRI-S062,32
CP_201707,Chattonella subsalsa,1186
CP_201707,Chondracanthus exasperatus,31
CP_201707,Chrysochromulina sp. CCMP291,449
CP_201707,Chrysonoma sp. ANIC15,6
CP_201707,Cliona chilensis,140
CP_201707,Clytia gracilis,1082
CP_201707,Corallina vancouveriensis,135
CP_201707,Coscinodiscus wailesii,12800
CP_201707,Cylindrotheca closterium,289
CP_201707,Dictyocha speculum,617
CP_201707,Ditylum brightwellii,712
CP_201707,Dodecaceria sp. CMC01,23
CP_201707,Dolichomastix tenuilepis,38
CP_201707,Egregia menziesii,105
CP_201707,Enophrys bison,423
CP_201707,Eucampia zodiacus,8
CP_201707,Euclymene oerstedi,1379
CP_201707,Grammonema striatula,200
CP_201707,Halichondria panicea,14
CP_201707,Hecatonema maculans,171
CP_201707,Heterocapsa rotundata,45
CP_201707,Lacuna vincta,5220
CP_201707,Laminariocolax aecidioides,52
CP_201707,Leathesia marina,189
CP_201707,Mazzaella splendens,21
CP_201707,Membranipora membranacea,316
CP_201707,Micromonas pusilla,2658
CP_201707,Minutocellus polymorphus,4651
CP_201707,Naineris dendritica CMC02,200
CP_201707,Neorhodomela oregona,8
CP_201707,Nereocystis luetkeana,821
CP_201707,Nicolea zostericola,570
CP_201707,Nitzschia cf. promare,292
CP_201707,Orthopyxis integra,18039
CP_201707,Paracalanus sp. C AC-2013,40
CP_201707,Paramoeba pemaquidensis,233
CP_201707,Phaeocystis antarctica,1111
CP_201707,Phaeocystis globosa,107
CP_201707,Platichthys stellatus,1040
CP_201707,Platynereis bicanaliculata,153
CP_201707,Poteriospumella lacustris,93
CP_201707,Protoperidinium cf. depressum,644
CP_201707,Pseudo-nitzschia hasleana,30
CP_201707,Pseudocalanus newmani,9340
CP_201707,Pseudochattonella farcimen,100
CP_201707,Pyropia fallax,4
CP_201707,Pyropia nereocystis,5
CP_201707,Pythium pachycaule,60
CP_201707,Pythium tracheiphilum,2427
CP_201707,Rhizosolenia setigera,4453
CP_201707,Skeletonema cf. pseudocostatum,10
CP_201707,Skeletonema dohrnii,157
CP_201707,Skeletonema japonicum,63
CP_201707,Smithora naiadum,3915
CP_201707,Stephanopyxis turris,88
