sample,species,nReads
FH_201803,Homo sapiens,443
FH_201803,Leathesia marina,5
FH_201803,Littorina plena,1518
FH_201803,Lottia paradigitalis,177
FH_201803,Macoma nasuta,358
FH_201803,Mazzaella splendens,19
FH_201803,Micromonas pusilla,16111
FH_201803,Minutocellus polymorphus,5731
FH_201803,Nanomia bijuga,3
FH_201803,Navicula ramosissima,4
FH_201803,Nitzschia cf. promare,113
FH_201803,Ostrea lurida,60
FH_201803,Phaeocystis antarctica,67209
FH_201803,Phaeocystis globosa,2
FH_201803,Pinnularia sp. 5 CS-2011,1880
FH_201803,Poteriospumella lacustris,220
FH_201803,Pseudo-nitzschia delicatissima,81
FH_201803,Pseudocalanus moultoni,25
FH_201803,Pycnococcus provasolii,367
FH_201803,Pyramimonas parkeae,13
FH_201803,Pythium tracheiphilum,92
FH_201803,Rhizosolenia setigera,194
FH_201803,Semibalanus cariosus,367
FH_201803,Skeletonema dohrnii,2372
FH_201803,Skeletonema japonicum,476
FH_201803,Stelligera rigida,149
FH_201803,Strongylocentrotus droebachiensis,1604
FH_201803,Thalassionema nitzschioides,1322
FH_201803,Thalassiosira nordenskioeldii,14279
FH_201803,Thalassiosira punctigera,94
FH_201803,Trebouxia aggregata,9
FH_201803,Triparma laevis,585
FH_201803,NA,307617
FH_201805,Acartia californiensis,7967
FH_201805,Acartia longiremis,38920
FH_201805,Aequorea sp. MW-2012,422
FH_201805,Alitta sp. CMC01,22223
FH_201805,Aphanomyces sp. BOLD:AAO9952,16
FH_201805,Asterionellopsis glacialis,869
FH_201805,Attheya longicornis,1120
FH_201805,Azumapecten farreri,120
FH_201805,Balanus balanus,2106
FH_201805,Bathycoccus prasinos,3166
FH_201805,Calanus pacificus,474
FH_201805,Centropages abdominalis,12909
FH_201805,Chaetoceros socialis,1751
FH_201805,Chattonella subsalsa,941
FH_201805,Chondracanthus exasperatus,249
FH_201805,Chordariaceae sp. 7 AP-2014,326
FH_201805,Chthamalus dalli,786
FH_201805,Coryne eximia,435
FH_201805,Coscinodiscus wailesii,33
FH_201805,Cylindrotheca closterium,1021
FH_201805,Dendraster excentricus,30355
FH_201805,Devaleraea mollis,34
FH_201805,Ditylum brightwellii,6629
FH_201805,Eucampia zodiacus,23
FH_201805,Fucus distichus,28
FH_201805,Gallus gallus,76
FH_201805,Gomphonema clevei,32
FH_201805,Gymnodinium sp. NVA/RUS/2008,109
FH_201805,Halidrys siliquosa,25
FH_201805,Haramonas dimorpha,27
FH_201805,Harpacticoida sp. DNZ085,1369
FH_201805,Hematodinium sp.,2619
FH_201805,Heterocapsa rotundata,644
FH_201805,Leitoscoloplos pugettensis CMC01,1756
FH_201805,Leuckartiara octona,1287
FH_201805,Macoma nasuta,2830
FH_201805,Martensia jejuensis,72
FH_201805,Mazzaella splendens,76
FH_201805,Micromonas pusilla,11164
FH_201805,Minutocellus polymorphus,37
FH_201805,Mytilus trossulus,16
FH_201805,Nitzschia cf. promare,401
FH_201805,Paracalanus sp. C AC-2013,37
FH_201805,Pedospumella sinomuralis,37
FH_201805,Penicillium sclerotiorum,20
FH_201805,Phaeocystis antarctica,9239
FH_201805,Phaeocystis globosa,65
FH_201805,Phytophthora multivora,29
FH_201805,Phytophthora taxon paludosa,87
FH_201805,Pinnularia sp. 5 CS-2011,4270
FH_201805,Polychaeta sp. NB-Po356,1045
FH_201805,Polyneura latissima,36
FH_201805,Polysiphonia hendryi,3038
FH_201805,Poteriospumella lacustris,153
FH_201805,Prionospio steenstrupi,1171
FH_201805,Protoperidinium cf. depressum,458
FH_201805,Pseudo-nitzschia delicatissima,2594
FH_201805,Pseudo-nitzschia hasleana,957
FH_201805,Pseudocalanus moultoni,260
FH_201805,Pseudocalanus newmani,6034
FH_201805,Pycnococcus provasolii,3407
FH_201805,Pyramimonas parkeae,91
FH_201805,Pythium pachycaule,672
FH_201805,Pythium tracheiphilum,3074
FH_201805,Rhizosolenia setigera,1559
FH_201805,Saxidomus gigantea,638
FH_201805,Sellaphora bacillum,435
FH_201805,Skeletonema cf. pseudocostatum,77
FH_201805,Skeletonema japonicum,6223
FH_201805,Stephanopyxis turris,54
FH_201805,Styela gibbsii,14
FH_201805,Thalassionema nitzschioides,163
FH_201805,Thalassiosira nordenskioeldii,30330
FH_201805,Thalassiosira punctigera,168
FH_201805,Tresus capax,6
FH_201805,NA,325759
FH_201807,Acartia longiremis,40705
FH_201807,Attheya longicornis,3
FH_201807,Azumapecten farreri,43
FH_201807,Bathycoccus prasinos,14022
FH_201807,Blastocladiella emersonii,44
FH_201807,Bougainvillia muscus,8
FH_201807,Callithamnion pikeanum,8
FH_201807,Centropages abdominalis,2541
FH_201807,Chaetoceros socialis,31
FH_201807,Chattonella subsalsa,15
FH_201807,Cliona chilensis,94
FH_201807,Coscinodiscus wailesii,88631
FH_201807,Cylindrotheca closterium,96
FH_201807,Dictyocha speculum,137
FH_201807,Ditylum brightwellii,2
FH_201807,Fucus distichus,6
FH_201807,Heterocapsa rotundata,2753
FH_201807,Heterosigma akashiwo,263
FH_201807,Homo sapiens,29
FH_201807,Leuckartiara octona,140
FH_201807,Macoma nasuta,8
FH_201807,Mazzaella sp. GWS-2013b,10
FH_201807,Membranipora membranacea,301
FH_201807,Mesocentrotus franciscanus,60
FH_201807,Micromonas pusilla,29511
FH_201807,Minutocellus polymorphus,2965
FH_201807,Muggiaea atlantica,289
FH_201807,Paracalanus sp. C AC-2013,430
FH_201807,Parvamoeba rugata,13
FH_201807,Penicillium rubens,309
FH_201807,Penicillium sclerotiorum,34
FH_201807,Phaeocystis antarctica,318
FH_201807,Phaeocystis globosa,14
FH_201807,Phytophthora riparia,12
FH_201807,Pinnularia sp. 5 CS-2011,47
FH_201807,Polycirrus sp. CMC05,422
FH_201807,Protoperidinium cf. depressum,314
FH_201807,Pseudo-nitzschia hasleana,44
FH_201807,Pseudocalanus newmani,10069
FH_201807,Pythium pachycaule,6
FH_201807,Pythium tracheiphilum,156
FH_201807,Rhizosolenia setigera,222
FH_201807,Skeletonema japonicum,18
FH_201807,Thalassionema nitzschioides,6
FH_201807,Thalassiosira nordenskioeldii,946
FH_201807,Triparma laevis,4
FH_201807,NA,231150
LK_201706,Acartia longiremis,12
LK_201706,Acrochaetium arcuatum,218
LK_201706,Acrochaetium moniliforme,22
LK_201706,Aequorea sp. MW-2012,10526
LK_201706,Anisolpidium ectocarpii,18
LK_201706,Aphanomyces sp. BOLD:AAO9952,15
LK_201706,Apodachlya minima,393
LK_201706,Asterionellopsis tropicalis,14
LK_201706,Attheya longicornis,28
LK_201706,Aurelia labiata,33573
LK_201706,Bathycoccus prasinos,3687
LK_201706,Blastocladiella emersonii,699
LK_201706,Calanus pacificus,668
LK_201706,Callithamnion pikeanum,59
LK_201706,Chaetoceros socialis,2369
LK_201706,Chattonella subsalsa,1357
LK_201706,Chordariaceae sp. 2 AP-2014,11
LK_201706,Chordariaceae sp. 7 AP-2014,120
LK_201706,Chrysaora melanaster,19
LK_201706,Clytia gracilis,371
LK_201706,Corallina vancouveriensis,12
LK_201706,Coscinodiscus wailesii,84
LK_201706,Cylindrotheca closterium,1471
LK_201706,Cystoseira geminata,2006
LK_201706,Dictyocha speculum,57
LK_201706,Ditylum brightwellii,533
LK_201706,Dodecaceria sp. CMC01,17
LK_201706,Fucus distichus,32
LK_201706,Gomphonema clevei,8
LK_201706,Grammonema striatula,8276
LK_201706,Gymnodinium sp. NVA/RUS/2008,141
LK_201706,Halichondria panicea,58
LK_201706,Halidrys siliquosa,2
LK_201706,Haptoglossa zoospora,10
LK_201706,Hecatonema maculans,5521
LK_201706,Hematodinium sp.,4
LK_201706,Heterocapsa rotundata,878
LK_201706,Lacuna vincta,329
LK_201706,Laminariocolax aecidioides,8
LK_201706,Leathesia marina,212
LK_201706,Leptasterias hexactis,5
LK_201706,Leuckartiara octona,563
LK_201706,Lichtheimia ramosa,5
LK_201706,Liparis florae,480
LK_201706,Littorina scutulata,259
LK_201706,Lottia paradigitalis,201
LK_201706,Martensia jejuensis,37
LK_201706,Megacyclops viridis,5
LK_201706,Membranipora membranacea,252
LK_201706,Mesocentrotus franciscanus,16
LK_201706,Microcladia coulteri,1738
LK_201706,Micromonas pusilla,14312
LK_201706,Microspongium alariae,14
LK_201706,Minutocellus polymorphus,1717
LK_201706,Myrionema balticum,38
LK_201706,Naineris dendritica CMC02,19
LK_201706,Nanomia bijuga,3324
LK_201706,Navicula cryptocephala,124
LK_201706,Navicula glaciei,77
LK_201706,Navicula sp. BOLD:AAO6949,17
LK_201706,Navicula sp. BOLD:AAO6950,19
LK_201706,Navicula sp. BOLD:AAO6951,340
LK_201706,Neorhodomela oregona,99
LK_201706,Nereocystis luetkeana,3483
LK_201706,Nitzschia cf. promare,1261
LK_201706,Nitzschia cf. recta RT-2009,38
LK_201706,Odonthalia floccosa,3603
LK_201706,Paramoeba pemaquidensis,162
LK_201706,Parvamoeba rugata,14
LK_201706,Pedospumella sinomuralis,33
LK_201706,Phacellophora camtschatica,10184
LK_201706,Phaeocystis antarctica,684
LK_201706,Phaeocystis globosa,13
LK_201706,Pinnularia sp. 5 CS-2011,1181
LK_201706,Polysiphonia hendryi,644
LK_201706,Protoperidinium cf. depressum,154
LK_201706,Pseudo-nitzschia delicatissima,4245
LK_201706,Pseudo-nitzschia hasleana,196
LK_201706,Pseudocalanus newmani,1957
LK_201706,Pterosiphonia bipinnata,13
LK_201706,Pyropia fallax,115
LK_201706,Pythium pachycaule,582
LK_201706,Pythium tracheiphilum,1645
LK_201706,Ralfsioid sp. 4GWS,324
LK_201706,Rhizosolenia setigera,608
LK_201706,Saprolegnia diclina,574
LK_201706,Scytosiphon lomentaria,3
LK_201706,Skeletonema cf. pseudocostatum,158
LK_201706,Skeletonema dohrnii,28
LK_201706,Skeletonema japonicum,343
LK_201706,Soranthera ulvoidea,82
LK_201706,Stephanopyxis turris,3
LK_201706,Striaria attenuata,3
LK_201706,Strongylocentrotus droebachiensis,892
LK_201706,Thalassionema nitzschioides,160
LK_201706,Thalassiosira nordenskioeldii,3156
LK_201706,Thalassiosira pseudonana,6
LK_201706,Thecamonas trahens,271
LK_201706,Triparma laevis,6
LK_201706,Wildemania sp. 5POR,144
LK_201706,NA,164396
LK_201707,Acartia longiremis,21543
LK_201707,Aequorea sp. MW-2012,36
LK_201707,Apodachlya minima,37
LK_201707,Asterionellopsis tropicalis,8
LK_201707,Attheya longicornis,122
LK_201707,Aurelia labiata,207
LK_201707,Balanus glandula,20
LK_201707,Bathycoccus prasinos,278
LK_201707,Blastocladiella emersonii,70
LK_201707,Bossiella frondescens,111
LK_201707,Brachionidae sp. SHYT150702c,69
LK_201707,Calanus pacificus,488
LK_201707,Calliarthron tuberculosum,203
LK_201707,Chaetoceros socialis,667
LK_201707,Chaetoceros sp. MBTD-CMFRI-S062,2
LK_201707,Chattonella subsalsa,563
LK_201707,Chordariaceae sp. 7 AP-2014,14
LK_201707,Chrysochromulina sp. CCMP291,4
LK_201707,Chthamalus dalli,53
LK_201707,Cliona chilensis,7
LK_201707,Clytia gracilis,268
LK_201707,Corallina vancouveriensis,52
LK_201707,Coscinodiscus wailesii,18686
LK_201707,Cylindrotheca closterium,1290
LK_201707,Cystoseira geminata,75
LK_201707,Dictyocha speculum,471
LK_201707,Ditylum brightwellii,268
LK_201707,Dodecaceria sp. CMC01,58
LK_201707,Emiliania huxleyi,4
LK_201707,Eucampia zodiacus,6
LK_201707,Eunice valens,1487
LK_201707,Glycera sp. CMC03,7
LK_201707,Grammonema striatula,609
LK_201707,Halichondria panicea,370
LK_201707,Halidrys siliquosa,19
LK_201707,Hecatonema maculans,2096
LK_201707,Hematodinium sp.,53
LK_201707,Heterocapsa rotundata,156
LK_201707,Hincksia hincksiae,74
LK_201707,Lacuna vincta,7661
LK_201707,Laminariocolax aecidioides,63
LK_201707,Leathesia marina,16
LK_201707,Membranipora membranacea,3563
LK_201707,Microcladia coulteri,113
LK_201707,Micromonas pusilla,2710
LK_201707,Microspongium alariae,37
LK_201707,Minutocellus polymorphus,2032
LK_201707,Mytilus trossulus,70
LK_201707,Navicula cryptocephala,4
LK_201707,Navicula glaciei,143
LK_201707,Navicula sp. BOLD:AAO6950,6
LK_201707,Navicula sp. BOLD:AAO6951,6
LK_201707,Neorhodomela oregona,30
LK_201707,Nereocystis luetkeana,2746
LK_201707,Nitzschia cf. promare,238
LK_201707,Odonthalia floccosa,24
LK_201707,Orthopyxis integra,9
LK_201707,Paracalanus sp. C AC-2013,126
LK_201707,Phacellophora camtschatica,1284
LK_201707,Phaeocystis antarctica,1043
LK_201707,Phaeocystis globosa,60
LK_201707,Phytophthora riparia,8
LK_201707,Pinnularia sp. 5 CS-2011,5
LK_201707,Platynereis bicanaliculata,11
LK_201707,Polysiphonia hendryi,401
LK_201707,Poteriospumella lacustris,66
LK_201707,Protoperidinium cf. depressum,427
LK_201707,Pseudo-nitzschia hasleana,11
LK_201707,Pseudocalanus moultoni,47
LK_201707,Pseudocalanus newmani,16372
LK_201707,Pseudochattonella farcimen,9
LK_201707,Pterosiphonia bipinnata,55
LK_201707,Pyropia nereocystis,31
LK_201707,Pythium tracheiphilum,1578
LK_201707,Ralfsioid sp. 4GWS,8
LK_201707,Rhizosolenia setigera,433
LK_201707,Salispina spinosa,10
LK_201707,Sellaphora bacillum,2
LK_201707,Semibalanus cariosus,356
LK_201707,Skeletonema dohrnii,4
LK_201707,Skeletonema japonicum,2
LK_201707,Stephanopyxis turris,164
LK_201707,Strongylocentrotus droebachiensis,1738
LK_201707,Syllis alternata CMC01,11298
LK_201707,Synchaeta pectinata,104
LK_201707,Thalassionema nitzschioides,5
LK_201707,Thalassiosira nordenskioeldii,608
LK_201707,Thecamonas trahens,188
LK_201707,Thelepus crispus,44
LK_201707,Tonicella lineata,109
LK_201707,Triparma laevis,7
LK_201707,NA,166408
LK_201708,Acartia californiensis,589
LK_201708,Acartia longiremis,903
LK_201708,Apodachlya minima,16
LK_201708,Asterionellopsis glacialis,35
LK_201708,Asterionellopsis tropicalis,78
LK_201708,Attheya longicornis,148
LK_201708,Aurelia labiata,5
LK_201708,Azumapecten farreri,213
LK_201708,Balanus glandula,51
LK_201708,Bathycoccus prasinos,3485
LK_201708,Boccardia proboscidea,93
LK_201708,Calanus pacificus,76
LK_201708,Calliarthron tuberculosum,23
LK_201708,Campanularia volubilis,4
LK_201708,Chaetoceros socialis,1734
LK_201708,Chaetoceros sp. MBTD-CMFRI-S062,600
LK_201708,Chattonella subsalsa,96
LK_201708,Chrysochromulina sp. CCMP291,59
LK_201708,Cliona chilensis,7
LK_201708,Clytia gracilis,963
LK_201708,Corallina vancouveriensis,157
LK_201708,Coscinodiscus wailesii,133
LK_201708,Cylindrotheca closterium,2604
LK_201708,Cystoseira geminata,305
LK_201708,Dasybranchus sp. DH1,12
LK_201708,Devaleraea mollis,72
LK_201708,Dictyocha speculum,1408
LK_201708,Ditylum brightwellii,244
LK_201708,Dodecaceria sp. CMC01,45
LK_201708,Emiliania huxleyi,18
LK_201708,Fucus distichus,53
LK_201708,Gomphonema parvulum,28
LK_201708,Grammonema striatula,196
LK_201708,Halichondria panicea,76
LK_201708,Hecatonema maculans,1336
LK_201708,Hematodinium sp.,7
LK_201708,Heterocapsa rotundata,130
LK_201708,Hildenbrandia sp. 27GWS,4
LK_201708,Homo sapiens,9
LK_201708,Lacuna vincta,923
LK_201708,Laminariocolax aecidioides,79
LK_201708,Leptasterias hexactis,17
LK_201708,Littorina sitkana,8
LK_201708,Lottia paradigitalis,830
LK_201708,Mazzaella rosea,74
LK_201708,Mazzaella splendens,1001
LK_201708,Megacyclops viridis,19730
LK_201708,Membranipora membranacea,4136
LK_201708,Mesocentrotus franciscanus,56
LK_201708,Microcladia coulteri,214
LK_201708,Micromonas pusilla,12437
LK_201708,Microspongium alariae,522
LK_201708,Minutocellus polymorphus,19819
LK_201708,Muggiaea atlantica,44
LK_201708,Navicula glaciei,46
LK_201708,Navicula sp. BOLD:AAO6949,49
LK_201708,Navicula sp. BOLD:AAO6950,15
LK_201708,Navicula sp. BOLD:AAO6951,4
LK_201708,Neorhodomela oregona,12
LK_201708,Nereis vexillosa,3095
LK_201708,Nereocystis luetkeana,4620
LK_201708,Nicolea zostericola,15
LK_201708,Nitzschia cf. promare,303
LK_201708,Odonthalia floccosa,44
LK_201708,Orthopyxis integra,71
LK_201708,Paracalanus sp. C AC-2013,57
LK_201708,Paramoeba pemaquidensis,12
LK_201708,Parvamoeba rugata,7
LK_201708,Phaeocystis antarctica,5519
LK_201708,Phaeocystis globosa,38
LK_201708,Phytophthora multivora,7
LK_201708,Phytophthora taxon paludosa,6
LK_201708,Pinnularia sp. 5 CS-2011,42
LK_201708,Plagiogramma sp. IAL-2014a,5
LK_201708,Platynereis bicanaliculata,10
LK_201708,Polydora lingshuiensis,2
LK_201708,Polysiphonia hendryi,828
LK_201708,Poteriospumella lacustris,68
LK_201708,Protoperidinium cf. depressum,98
LK_201708,Pseudo-nitzschia delicatissima,30
LK_201708,Pseudo-nitzschia hasleana,199
LK_201708,Pseudocalanus moultoni,13
LK_201708,Pseudocalanus newmani,20658
LK_201708,Pseudochattonella farcimen,5
LK_201708,Pterosiphonia bipinnata,36
LK_201708,Pycnococcus provasolii,21
LK_201708,Pyropia nereocystis,857
LK_201708,Pythium tracheiphilum,106
LK_201708,Ralfsioid sp. 4GWS,172
LK_201708,Rhizosolenia setigera,2018
LK_201708,Rostanga pulchra,28
LK_201708,Schistomeringos longicornis,7
LK_201708,Sellaphora bacillum,8
LK_201708,Sellaphora pupula,4
LK_201708,Semibalanus cariosus,297
LK_201708,Skeletonema cf. pseudocostatum,34
LK_201708,Skeletonema dohrnii,4
LK_201708,Stephanopyxis turris,157
LK_201708,Strongylocentrotus droebachiensis,1225
LK_201708,Thalassiosira nordenskioeldii,4496
LK_201708,Thecamonas trahens,102
LK_201708,Thelepus crispus,782
LK_201708,Thelepus sp. CMC01,63
LK_201708,Triparma laevis,41
LK_201708,Wildemania sp. 5POR,35
LK_201708,NA,135782
LK_201709,Acartia longiremis,23635
LK_201709,Acrochaetium arcuatum,362
LK_201709,Acrochaetium moniliforme,257
LK_201709,Anisolpidium ectocarpii,2
LK_201709,Apodachlya minima,8
LK_201709,Bathycoccus prasinos,139779
LK_201709,Blastocladiella emersonii,48
LK_201709,Boccardia proboscidea,298
LK_201709,Cafeteria roenbergensis,22
LK_201709,Chattonella subsalsa,4
LK_201709,Chrysochromulina sp. CCMP291,17
LK_201709,Chthamalus dalli,112
LK_201709,Clytia gracilis,1820
LK_201709,Corallina vancouveriensis,193
LK_201709,Coscinodiscus wailesii,214
LK_201709,Cylindrotheca closterium,1222
LK_201709,Dictyocha speculum,37
LK_201709,Ditylum brightwellii,26
LK_201709,Dolichomastix tenuilepis,129
LK_201709,Emiliania huxleyi,577
LK_201709,Fucus distichus,3
LK_201709,Gomphonema parvulum,26
LK_201709,Grammonema striatula,555
LK_201709,Halichondria panicea,1620
LK_201709,Hecatonema maculans,1182
LK_201709,Hematodinium sp.,2
LK_201709,Heterocapsa rotundata,2676
LK_201709,Hildenbrandia sp. 27GWS,166
LK_201709,Homo sapiens,8
LK_201709,Hydra circumcincta,837
LK_201709,Laminariocolax aecidioides,17
LK_201709,Leathesia marina,20
LK_201709,Leptasterias hexactis,1656
LK_201709,Lichtheimia ramosa,18
LK_201709,Littorina sitkana,15
LK_201709,Lottia paradigitalis,28611
LK_201709,Martensia jejuensis,12
LK_201709,Mastocarpus alaskensis,5
LK_201709,Mazzaella rosea,40
LK_201709,Mazzaella splendens,201
LK_201709,Membranipora membranacea,529
LK_201709,Mesocentrotus franciscanus,10
LK_201709,Microcladia sp. 1Cal,63
LK_201709,Micromonas pusilla,34902
LK_201709,Microspongium alariae,124
LK_201709,Minutocellus polymorphus,25869
LK_201709,Naineris dendritica CMC02,350
LK_201709,Navicula cryptocephala,109
LK_201709,Navicula sp. BOLD:AAO6950,37
LK_201709,Navicula sp. BOLD:AAO6951,5
LK_201709,Neorhodomela oregona,1284
LK_201709,Nereocystis luetkeana,822
LK_201709,Nitzschia cf. promare,219
LK_201709,Oligocottus maculosus,293
LK_201709,Ostrea lurida,3
LK_201709,Paracalanus sp. C AC-2013,49
LK_201709,Parvamoeba rugata,4
LK_201709,Petalonia fascia,6
LK_201709,Phaeocystis antarctica,1480
LK_201709,Phaeocystis globosa,277
LK_201709,Phytophthora riparia,5
LK_201709,Pinnularia sp. 5 CS-2011,3
LK_201709,Pisaster ochraceus,41
LK_201709,Platynereis bicanaliculata,242
LK_201709,Polydora lingshuiensis,145
LK_201709,Polynoidae sp. C_0250,14604
LK_201709,Polysiphonia hendryi,1604
LK_201709,Poteriospumella lacustris,16
LK_201709,Prionitis sternbergii,42
LK_201709,Proboscidactyla flavicirrata,22
LK_201709,Protoperidinium cf. depressum,29
LK_201709,Pseudocalanus acuspes,8
LK_201709,Pseudocalanus newmani,20378
LK_201709,Pseudochattonella farcimen,251
LK_201709,Pseudolithophyllum sp. 2whidbeyense,279
LK_201709,Pterosiphonia bipinnata,377
LK_201709,Pycnococcus provasolii,405
LK_201709,Pyropia nereocystis,57
LK_201709,Pyropia perforata,297
LK_201709,Pythium tracheiphilum,282
LK_201709,Ralfsioid sp. 4GWS,4928
LK_201709,Rhizosolenia setigera,24973
LK_201709,Sellaphora pupula,2
LK_201709,Semibalanus cariosus,44
LK_201709,Skeletonema cf. pseudocostatum,5
LK_201709,Skeletonema dohrnii,5
LK_201709,Skeletonema japonicum,65
LK_201709,Stelligera rigida,15
LK_201709,Strongylocentrotus droebachiensis,2711
LK_201709,Thalassionema nitzschioides,5
LK_201709,Thalassiosira nordenskioeldii,8720
LK_201709,Thecamonas trahens,11
LK_201709,Thelepus crispus,796
LK_201709,Triparma laevis,37
LK_201709,Tylos sp. clade D MM-2013,20
LK_201709,Wildemania amplissima,5
LK_201709,NA,118927
LK_201710,Acartia longiremis,4395
LK_201710,Acrochaetium arcuatum,93
LK_201710,Acrochaetium moniliforme,23
LK_201710,Asterionellopsis tropicalis,7
LK_201710,Attheya longicornis,3
LK_201710,Balanus glandula,35
LK_201710,Bathycoccus prasinos,30122
LK_201710,Blastocladiella emersonii,124
LK_201710,Boccardia proboscidea,100
LK_201710,Callophyllis flabellulata,76
LK_201710,Centropages abdominalis,47
LK_201710,Chaetoceros socialis,596
LK_201710,Chaetoceros sp. MBTD-CMFRI-S062,36
LK_201710,Chattonella subsalsa,247
LK_201710,Chondracanthus exasperatus,5
LK_201710,Chordariaceae sp. 2 AP-2014,27
LK_201710,Chrysochromulina sp. CCMP291,57
LK_201710,Chthamalus dalli,5602
LK_201710,Cliona chilensis,7
LK_201710,Clytia gracilis,22
LK_201710,Corallina vancouveriensis,13
LK_201710,Cordyceps militaris,10
LK_201710,Coscinodiscus wailesii,1535
LK_201710,Dendraster excentricus,81
LK_201710,Dictyocha speculum,183
LK_201710,Ditylum brightwellii,335
LK_201710,Emiliania huxleyi,103
LK_201710,Eucampia zodiacus,2
LK_201710,Eunice valens,817
LK_201710,Fucus distichus,197
LK_201710,Halichondria panicea,76
LK_201710,Hecatonema maculans,10
LK_201710,Hematodinium sp.,29
LK_201710,Heterocapsa rotundata,936
LK_201710,Hildenbrandia sp. 27GWS,173
LK_201710,Hincksia hincksiae,32
LK_201710,Homo sapiens,1054
LK_201710,Laminariocolax aecidioides,2
LK_201710,Leptasterias hexactis,146
LK_201710,Littorina plena,35
LK_201710,Littorina scutulata,30
LK_201710,Littorina sitkana,80
LK_201710,Lottia paradigitalis,406
LK_201710,Macoma nasuta,178
LK_201710,Mastocarpus alaskensis,65
LK_201710,Membranipora membranacea,20
LK_201710,Micromonas pusilla,13312
LK_201710,Minutocellus polymorphus,54914
LK_201710,Muggiaea atlantica,63
LK_201710,Myxicola infundibulum CMC02,7
LK_201710,Navicula cryptocephala,19
LK_201710,Neorhodomela oregona,18
LK_201710,Nereocystis luetkeana,4
LK_201710,Notheia anomala,2
LK_201710,Ophelina acuminata,9
LK_201710,Paracalanus sp. C AC-2013,59
LK_201710,Penicillium sclerotiorum,154
LK_201710,Phaeocystis antarctica,2605
LK_201710,Phaeocystis globosa,257
LK_201710,Phyllodoce medipapillata,43
LK_201710,Phytophthora riparia,39
LK_201710,Platynereis bicanaliculata,12
LK_201710,Polydora lingshuiensis,4
LK_201710,Poteriospumella lacustris,33
LK_201710,Protoperidinium cf. depressum,436
LK_201710,Pseudo-nitzschia delicatissima,3
LK_201710,Pseudo-nitzschia hasleana,11
LK_201710,Pseudocalanus newmani,19595
LK_201710,Pseudochattonella farcimen,3479
LK_201710,Pycnococcus provasolii,771
LK_201710,Pythium acanthicum,63
LK_201710,Pythium tracheiphilum,1087
LK_201710,Ralfsioid sp. 4GWS,3
LK_201710,Rhizosolenia setigera,76
LK_201710,Semibalanus cariosus,166
LK_201710,Skeletonema japonicum,24
LK_201710,Stelligera rigida,14
LK_201710,Stephanopyxis turris,247
LK_201710,Strongylocentrotus droebachiensis,334
LK_201710,Thalassionema nitzschioides,8
LK_201710,Thalassiosira nordenskioeldii,16634
LK_201710,Thalassiosira punctigera,4
LK_201710,Thelepus crispus,6497
LK_201710,Triparma laevis,66
LK_201710,Tylos sp. clade D MM-2013,23
LK_201710,Wildemania sp. 5POR,59
LK_201710,NA,211524
LK_201711,Acila castrensis,64
LK_201711,Acrochaetium arcuatum,2
LK_201711,Aphanomyces sp. BOLD:AAO9952,30
LK_201711,Aphroditella hastata,201
LK_201711,Attheya longicornis,603
LK_201711,Balanus balanus,5
LK_201711,Bathycoccus prasinos,63935
LK_201711,Blastocladiella emersonii,73
LK_201711,Boccardia proboscidea,23
LK_201711,Callophyllis flabellulata,6
LK_201711,Centropages abdominalis,3
LK_201711,Chaetoceros socialis,42
LK_201711,Chattonella subsalsa,263
LK_201711,Chondracanthus exasperatus,9
LK_201711,Corallina vancouveriensis,2
LK_201711,Coscinodiscus wailesii,550
LK_201711,Crepipatella lingulata,12
LK_201711,Cylindrotheca closterium,5
LK_201711,Dendraster excentricus,806
LK_201711,Ditylum brightwellii,194
LK_201711,Emiliania huxleyi,377
LK_201711,Emplectonema sp. 1 TCH-2015,20
LK_201711,Geminosyllis ohma,3297
LK_201711,Halichondria panicea,21
LK_201711,Halidrys siliquosa,9
LK_201711,Hecatonema maculans,175
LK_201711,Heterocapsa rotundata,650
LK_201711,Hildenbrandia sp. 27GWS,831
LK_201711,Hincksia hincksiae,50
LK_201711,Homo sapiens,367
LK_201711,Laminariocolax aecidioides,139
LK_201711,Lepidodinium chlorophorum,354
LK_201711,Leptasterias hexactis,4
LK_201711,Littorina plena,301
LK_201711,Littorina scutulata,280
LK_201711,Littorina sitkana,580
LK_201711,Lottia paradigitalis,58
LK_201711,Loxosomella sp. JM-2012,910
LK_201711,Marionina sp. F LM-2012,1093
LK_201711,Martensia jejuensis,26
LK_201711,Mastocarpus alaskensis,274
LK_201711,Mesocentrotus franciscanus,27
LK_201711,Micromonas pusilla,19812
LK_201711,Minutocellus polymorphus,17050
LK_201711,Mytilus trossulus,25
LK_201711,Navicula sp. BOLD:AAO6950,5
LK_201711,Neorhodomela oregona,127
LK_201711,Nereocystis luetkeana,51
LK_201711,Nitzschia cf. promare,6
LK_201711,Ostrea lurida,453
LK_201711,Penicillium sclerotiorum,6
LK_201711,Phaeocystis antarctica,9436
LK_201711,Phaeocystis globosa,999
LK_201711,Phascolosoma agassizii,697
LK_201711,Phytophthora riparia,17
LK_201711,Platynereis bicanaliculata,153
LK_201711,Polycirrus sp. CMC02,122
LK_201711,Prionitis sternbergii,27
LK_201711,Pseudocalanus newmani,11
LK_201711,Pseudochattonella farcimen,202
LK_201711,Pycnococcus provasolii,78
LK_201711,Pythium acanthicum,458
