species,n_detections
Eucampia zodiacus,9
Gelidiophycus freshwateri,9
Gymnodinium sp. NVA/RUS/2008,9
Monocorophium acherusicum,9
Nitzschia cf. recta RT-2009,9
Sarcodiotheca sp. 2gaudichaudii,9
Thelepus sp. CMC01,9
Amphicaryon earnesti,8
Ceramium sp. 3Cal,8
Devaleraea mollis,8
Evasterias troschelii,8
Leptasterias hexactis,8
Leuckartiara octona,8
Leucocryptos marina,8
Mayamaea permitis,8
Nanomia cara,8
Obelia bidentata,8
Acartia californiensis,7
Cymatogaster aggregata,7
Dodecaceria sp. CMC01,7
Euclymene sp. BOLD:ACG1020,7
Eunice valens,7
Heterosigma akashiwo,7
Martensia jejuensis,7
Mazzaella rosea,7
Mazzaella sp. GWS-2013b,7
Microcladia coulteri,7
Naineris dendritica CMC02,7
Nitzschia palea,7
Prionitis sternbergii,7
Sellaphora bacillum,7
Amathia vidovici,6
Botrylloides violaceus,6
Cafeteria roenbergensis,6
Chrysaora melanaster,6
Enophrys bison,6
Mastocarpus alaskensis,6
Microspongium alariae,6
Navicula sp. BOLD:AAO6949,6
Phyllodoce medipapillata,6
Pyropia perforata,6
Stiliger fuscovittatus,6
Styela gibbsii,6
Acrochaetium moniliforme,5
Callophyllis flabellulata,5
Chordariaceae sp. 17 AP-2014,5
Euclymene oerstedi,5
Haliclystus sanjuanensis,5
Hemipodia simplex,5
Kellia porculus,5
Liparis florae,5
Nanomia bijuga,5
Oligocottus maculosus,5
Polycirrus sp. CMC05,5
Pyropia nereocystis,5
Schistomeringos longicornis,5
Smithora sp. 1naiadum,5
Thelepus cincinnatus,5
Tresus capax,5
Tylos sp. clade D MM-2013,5
Wildemania sp. HK-2011,5
Ammodytes hexapterus,4
Callithamnion pikeanum,4
Coryne eximia,4
Cystoseira geminata,4
Dasybranchus sp. DH1,4
Glycera sp. CMC03,4
Hypomesus pretiosus,4
Microcladia sp. 1Cal,4
Myrionema balticum,4
Nassarius mendicus,4
Notheia anomala,4
Pinnularia acrosphaeria,4
Platichthys stellatus,4
Polydora lingshuiensis,4
Polyneura latissima,4
Schizobranchia insignis,4
Arca avellana,3
Bougainvillia muscus,3
Calliarthron tuberculosum,3
Clytia folleata,3
Clytia languida,3
Cochliopodium larifeili,3
Compsomyax subdiaphana,3
Cyphoderia cf. compressa,3
Fistulifera solaris,3
Gomphonema parvulum,3
Halicyclops itohi,3
Hartmannella cantabrigiensis,3
Lacuna pallidula,3
Lepidodinium chlorophorum,3
Lomentaria hakodatensis,3
Manania gwilliami,3
Megacyclops viridis,3
Mya arenaria,3
Oncorhynchus tshawytscha,3
Ophelina acuminata,3
Pinnularia subanglica,3
Placoneis sp. WJS-2015a,3
Platyias quadricornis,3
Polynoidae sp. C_0250,3
Proboscidactyla flavicirrata,3
Pseudo-nitzschia cuspidata,3
Pseudolithophyllum sp. 2whidbeyense,3
Rhinogobiops nicholsii,3
Rhodomonas salina,3
Scolelepis squamata,3
Thalassiosira pseudonana,3
Thysanoessa raschii,3
Trebouxia aggregata,3
Bothrioneurum vejdovskyanum,2
Campanularia volubilis,2
Cancer productus,2
Crepipatella lingulata,2
Egregia menziesii,2
Evadne nordmanni,2
Gelidium coulteri,2
Gelidium vagum,2
Macoma petalum,2
Maculaura alaskensis,2
Melosira ambiqua,2
Metridia pacifica,2
Modiolus modiolus,2
Musculista senhousia,2
Myxicola infundibulum CMC02,2
Nitokra spinipes,2
Onchidoris bilamellata,2
Opisthosyllis sp. CMC01,2
Paranemertes californica,2
Pectinaria granulata CMC01,2
Pennaria disticha,2
Phoronopsis harmeri,2
Pinnularia parvulissima,2
Polycirrus sp. CMC02,2
Polycirrus sp. CMC06,2
Pseudocalanus acuspes,2
Rhyacodrilus falciformis,2
Scytosiphon lomentaria,2
Striaria attenuata,2
Acanthamoeba castellanii,1
Acila castrensis,1
Aglaja ocelligera,1
Ameritella mitchelli,1
Amynthas sp. FJ201111-06,1
Aphroditella hastata,1
Bipalponephtys cornuta,1
Bossiella frondescens,1
Calanus glacialis,1
Capitella nonatoi,1
Chone magna CMC02,1
Chrysaora fuscescens,1
Citharichthys sordidus,1
Cochliopodium sp. SG-2014,1
Cunea thuwala,1
Dinobryon divergens,1
Echiniscoides pollocki,1
Eucalanus bungii,1
Fistulifera pelliculosa,1
Galathowenia oculata,1
Gari maculosa,1
Geminosyllis ohma,1
Halosydna brevisetosa,1
Harmothoe fragilis,1
Haslea ostrearia,1
Hediste diadroma,1
Hydra circumcincta,1
Keratella cochlearis,1
Leptosynapta clarki,1
Loxosomella sp. JM-2012,1
Marionina sp. F LM-2012,1
Melanosiphon intestinalis,1
Melanothamnus harveyi,1
Metridium senile,1
Microgadus proximus,1
Mytilicola orientalis,1
Nais communis/variabilis complex sp. A1,1
Nais elinguis,1
Neochromadora poecilosomoides,1
Notophyllum foliosum,1
Octolasion tyrtaeum,1
Pedospumella encystans,1
Phascolosoma agassizii,1
Pisaster brevispinus,1
Plectus aquatilis,1
Plumularia lagenifera,1
Polydora cornuta,1
Prionospio steenstrupi,1
Proceraea okadai,1
Pseudobradya attenuata,1
Pseudocalanus mimus,1
Rhodophysema kjellmanii,1
Rhodoptilum plumosum,1
Rostanga pulchra,1
Saccocirrus sp. CMC01,1
Soranthera ulvoidea,1
Sphacelaria sp. 2 AP-2014,1
Spongospora subterranea,1
Stenhelia pubescens,1
Syllis alternata CMC01,1
Tonicella lineata,1
Tortanus discaudatus,1
